mod; YYYY/MM/DD; HH:MM:SS; aligned
src; "Omnibus Systems - Omnibase "; "2010/03/28" ; "11:14:07"
chs; "ASCII"
ver; "For help and support contact the Omnibus Support Team"
ifv; "Version 5.0"
dve; "For help and support contact the Omnibus Support Team"
fft; ""
tbl; STOP_POINT
atr; BASE_VERSION; POINT_TYPE; POINT_NO; STOP_POINT_NO; STOP_POINT_DESC
frm; num[11.0]; num[11.0]; num[11.0]; num[11.0]; char[40]
rec;    20100328;           1;       24200;           0;                            "Snipe Hotel"
rec;    20100328;           1;       24201;           1;                            "Snipe Hotel"
rec;    20100328;           1;       24300;           0;                        "Carden Crescent"
rec;    20100328;           1;       24301;           1;                        "Carden Crescent"
rec;    20100328;           1;       24400;           0;                       "Portfield Avenue"
rec;    20100328;           1;       24401;           1;                       "Portfield Avenue"
rec;    20100328;           1;       24500;           0;                "Ladies Mile Road Middle"
rec;    20100328;           1;       24501;           1;                "Ladies Mile Road Middle"
rec;    20100328;           1;       24600;           0;                       "Ladies Mile Road"
rec;    20100328;           1;       24601;           1;                       "Ladies Mile Road"
rec;    20100328;           1;       24701;           1;                 "Ladies Mile Road Shops"
rec;    20100328;           1;       24800;           0;                        "Highview Ave S."
rec;    20100328;           1;       24801;           1;                        "Highview Ave S."
rec;    20100328;           1;       24900;           0;                    "Patcham Old Village"
rec;    20100328;           1;       24901;           1;                    "Patcham Old Village"
rec;    20100328;           1;       25000;           0;                           "Audrey Close"
rec;    20100328;           1;       25001;           1;                           "Audrey Close"
rec;    20100328;           1;       25100;           0;                       "Preston Circus E"
rec;    20100328;           1;       25200;           0;                             "York Grove"
rec;    20100328;           1;       25201;           1;                             "York Grove"
rec;    20100328;           1;       25300;           0;                "Bottom of Carden Avenue"
rec;    20100328;           1;       25301;           1;                "Bottom of Carden Avenue"
rec;    20100328;           1;       25400;           0;                  "Graham Avenue Patcham"
rec;    20100328;           1;       25401;           1;                  "Graham Avenue Patcham"
rec;    20100328;           1;       25500;           0;                              "Patchdean"
rec;    20100328;           1;       25501;           1;                              "Patchdean"
rec;    20100328;           1;       25600;           0;                        "Winfield Avenue"
rec;    20100328;           1;       25601;           1;                        "Winfield Avenue"
rec;    20100328;           1;       25700;           0;                        "The Ladies Mile"
rec;    20100328;           1;       25701;           1;                        "The Ladies Mile"
rec;    20100328;           1;       25801;           1;                       "Craignair Avenue"
rec;    20100328;           1;       25901;           1;                        "Sanyhils Avenue"
rec;    20100328;           1;       26001;           1;             "Thornhill Ave/Braeside Ave"
rec;    20100328;           1;       26101;           1;                       "Glenfalls Avenue"
rec;    20100328;           1;       26201;           1;               "Braeside Avenue East End"
rec;    20100328;           1;       26300;           0;                       "Mackie Ave Shops"
